Model,Scenario,Region,Category,Carbon Dioxide Removal|NovelCmltv|PerCapita20202100,Modelled,Preventative,.group
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10AFRICA,1_PP1990,0.5353222635437663,0.3304519295905395,0,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10CHINA+,1_PP1990,0.601171219084482,1.1191112364307647,0.7514964639036575,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10EUROPE,1_PP1990,0.6996906055981179,1.3943561117539158,1.1878081185599136,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10INDIA+,1_PP1990,0.7451886728080697,0.6132022387960941,0,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10LATIN_AM,1_PP1990,1.6613609784063987,0.650166107818832,0.007718870493225653,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10MIDDLE_EAST,1_PP1990,1.0145292938199904,1.0176944727247135,0.5889641049160907,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10NORTH_AM,1_PP1990,2.2908048430006946,2.997622510121806,3.7309794770942863,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10PAC_OECD,1_PP1990,1.0495248705573905,1.8110140373271257,1.848455355885999,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REF_ECON,1_PP1990,1.9402209723885475,1.597189275371353,1.5101573705238631,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,R10REST_ASIA,1_PP1990,0.5858666597630718,0.5864869852922319,0,1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10AFRICA,1_PP1990,0.02203318031731286,0.016476502051736102,0,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10CHINA+,1_PP1990,0.0840870923028483,0.08783204266402424,1.1451007300019032,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10EUROPE,1_PP1990,0.10442860218445822,0.11295643135479531,2.07444754358617,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10INDIA+,1_PP1990,0.02587206412582329,0.029015601389726586,0,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10LATIN_AM,1_PP1990,0.10615543105167663,0.04039827045803977,0,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10MIDDLE_EAST,1_PP1990,0.007938192977012674,0.07634653086437447,0.719674464814363,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10NORTH_AM,1_PP1990,0.17951355760002327,0.2505499854208251,7.1612279073399225,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10PAC_OECD,1_PP1990,0.09640086813563406,0.14667810150856836,3.321308900259992,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10REF_ECON,1_PP1990,0.12456365565172425,0.13075498583380862,2.732714654093124,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,R10REST_ASIA,1_PP1990,0.05112104929042794,0.03310516323693353,0,2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,R10AFRICA,1_PP1990,0.8110552730168392,0.49160867009899595,0,3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,R10CHINA+,1_PP1990,1.1297920392491634,1.5479176067528613,1.8464941240689596,3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,R10EUROPE,1_PP1990,1.2204321021140672,1.9208033635638027,2.799334450202234,3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,R10INDIA+,1_PP1990,0.9952036122844246,0.8891735224827924,0.1417725173954614,3
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,R10LATIN_AM,1_PP1990,2.0555764352078736,1.0304246784505442,0.5154943636485673,3
